AT,GO,contig,O_sativa_locus_annotation,ProbeName,TargetID,Sig Index PrF_T3_Oil,Sig Index PrF_T3_State,Sum Sig Index for F-Tests,Avg Sig Index for F-Tests
AT5G35200,GO:0005886/GO:0030118/GO:0005545/GO:0048268/GO:0005543/GO:0048268/GO:0030118/GO:0030276/GO:0048268/GO:0030118,S_alt_contig08378,LOC_Os02g55970,CUST_12556_PI428634872,S_alt_contig08378,1,0,1,0.5
AT4G13430,GO:0019761/GO:0009507/GO:0009570/GO:0006096/GO:0000023/GO:0046686/GO:0019761/GO:0046686/GO:0016836/GO:0009570/GO:0008152/GO:0050486/GO:0009570/GO:0006094/GO:0000023/GO:0019252/GO:0009570/GO:0009570/GO:0009651/GO:0006096/GO:0009536/GO:0019761/GO:0009570/GO:0009570/GO:0051539/GO:0009651/GO:0009570/GO:0019761/GO:0008652/GO:0008652/GO:0019252/GO:0008152/GO:0016829,S_alt_contig08379_RC,LOC_Os02g03260,CUST_12557_PI428634872,S_alt_contig08379_RC,1,0,1,0.5
AT4G11740,GO:0005829/GO:0005737/GO:0016192/GO:0005634,S_alt_contig08390,LOC_Os09g35710,CUST_12563_PI428634872,S_alt_contig08390,1,0,1,0.5
AT1G21320,GO:0000166/GO:0008150/GO:0003676/GO:0000166/GO:0005634/GO:0005634/GO:0003676,S_alt_contig08402_RC,LOC_Os08g43360,CUST_12567_PI428634872,S_alt_contig08402_RC,1,0,1,0.5
AT2G47160,GO:0016328/GO:0010167/GO:0016021/GO:0005773/GO:0016020/GO:0015301/GO:0046715/GO:0005452/GO:0000041/GO:0005773/GO:0006820/GO:0015301/GO:0046713/GO:0080139/GO:0005886/GO:0010036/GO:0010106/GO:0006826/GO:0016021/GO:0016328/GO:0005737/GO:0015706/GO:0043674/GO:0010106/GO:0005768/GO:0016020/GO:0006820/GO:0005452/GO:0005768,S_alt_contig08412_RC,LOC_Os12g37840,CUST_12573_PI428634872,S_alt_contig08412_RC,1,0,1,0.5
AT1G07410,GO:0016192/GO:0009408/GO:0006913/GO:0005768/GO:0016020/GO:0015031/GO:0007264/GO:0006457/GO:0009644/GO:0009408/GO:0006184/GO:0005768/GO:0042542/GO:0006886/GO:0007165/GO:0009504/GO:0005886/GO:0006457/GO:0005525/GO:0005525/GO:0009504/GO:0006886/GO:0003924/GO:0005622/GO:0006913/GO:0006457/GO:0005525/GO:0005794/GO:0005525/GO:0006184,S_alt_contig08417,LOC_Os05g20050,CUST_12575_PI428634872,S_alt_contig08417,1,0,1,0.5
AT5G67030,GO:0016491/GO:0009414/GO:0010114/GO:0010264/GO:0009507/GO:0009941/GO:0009540/GO:0010264/GO:0009507/GO:0055114/GO:0055114/GO:0009688/GO:0009941/GO:0010182/GO:0009688/GO:0009941/GO:0016020/GO:0009540/GO:0009414/GO:0009688/GO:0009941/GO:0009688/GO:0009941/GO:0009941/GO:0009507/GO:0016123/GO:0009540/GO:0009414/GO:0016491/GO:0009941/GO:0009941/GO:0009688/GO:0009540/GO:0009507/GO:0016123/GO:0016020/GO:0009408/GO:0006970/GO:0008152/GO:0009507/GO:0009507/GO:0009408/GO:0009941/GO:0009941/GO:0009941/GO:0010182/GO:0009414/GO:0006970/GO:0009941/GO:0008152/GO:0009688,S_alt_contig08431_RC,LOC_Os04g37619,CUST_12583_PI428634872,S_alt_contig08431_RC,1,0,1,0.5
AT3G22440,GO:0016558/GO:0006635/GO:0000956/GO:0003674/GO:0016558/GO:0000956/GO:0008150/GO:0006635/GO:0016558/GO:0005634,S_alt_contig08446,LOC_Os07g07680,CUST_12588_PI428634872,S_alt_contig08446,1,1,2,1
AT2G38320,GO:0008150/GO:0044036/GO:0045492/GO:0042546/GO:0005794/GO:0045492/GO:0010413/GO:0044036/GO:0010413,S_alt_contig08451,LOC_Os12g01560,CUST_12593_PI428634872,S_alt_contig08451,1,0,1,0.5
AT1G68920,GO:0003700/GO:0005634/GO:0006355/GO:0006355/GO:0005634/GO:0006355/GO:0005634/GO:0003700,S_5sp_contig23626,LOC_Os09g32510,CUST_1259_PI428634872,S_5sp_contig23626,1,0,1,0.5
AT1G52600,GO:0034976/GO:0009627/GO:0008233/GO:0005783/GO:0005886/GO:0009507/GO:0034976/GO:0008233/GO:0006465/GO:0006465/GO:0005783/GO:0016020/GO:0006465/GO:0016020/GO:0009627/GO:0006508,S_alt_contig08470,LOC_Os05g23260,CUST_12604_PI428634872,S_alt_contig08470,1,0,1,0.5
AT1G68920,GO:0003700/GO:0005634/GO:0006355/GO:0006355/GO:0005634/GO:0006355/GO:0005634/GO:0003700,S_5sp_contig23627,LOC_Os09g32510,CUST_1260_PI428634872,S_5sp_contig23627,1,0,1,0.5
AT5G47770,GO:0005737/GO:0030003/GO:0004337/GO:0006598/GO:0004161/GO:0042398/GO:0016132/GO:0009698/GO:0005829/GO:0045337/GO:0009651/GO:0042398/GO:0006598/GO:0004161/GO:0045337/GO:0016126/GO:0004337/GO:0009698/GO:0006084/GO:0007030/GO:0006816/GO:0009651/GO:0045337/GO:0045337/GO:0007030/GO:0006084/GO:0070838,S_alt_contig08487,LOC_Os01g50050,CUST_12616_PI428634872,S_alt_contig08487,1,1,2,1
AT2G44350,GO:0005739/GO:0046686/GO:0046912/GO:0044262/GO:0006096/GO:0006099/GO:0004108/GO:0004108/GO:0044262/GO:0005524/GO:0009060/GO:0005739/GO:0005524/GO:0005739/GO:0008270/GO:0004108/GO:0006099/GO:0044262/GO:0005618/GO:0009507/GO:0005739/GO:0046686/GO:0005524/GO:0006099/GO:0006099/GO:0046912/GO:0005739/GO:0005524/GO:0006099/GO:0006099/GO:0005739/GO:0006099/GO:0009507/GO:0005739/GO:0005739/GO:0005618/GO:0044262/GO:0005739/GO:0004108/GO:0046686/GO:0009060/GO:0006096/GO:0005739/GO:0006099,S_alt_contig08490,LOC_Os11g33240,CUST_12619_PI428634872,S_alt_contig08490,1,0,1,0.5
AT1G14810,GO:0009507/GO:0009086/GO:0004073/GO:0051287/GO:0009570/GO:0006164/GO:0005739/GO:0005737/GO:0009097/GO:0046983/GO:0009088/GO:0008652/GO:0006520/GO:0008652/GO:0009570/GO:0051287/GO:0009086/GO:0016620/GO:0000166/GO:0009097/GO:0009536/GO:0009570/GO:0003942/GO:0006520/GO:0009570/GO:0004073/GO:0009089/GO:0009570/GO:0006164/GO:0050661/GO:0006520/GO:0006520/GO:0016620/GO:0009088/GO:0050661/GO:0055114/GO:0009570/GO:0009570/GO:0009570/GO:0009089,S_alt_contig08511,LOC_Os03g55280,CUST_12629_PI428634872,S_alt_contig08511,1,1,2,1
AT1G04250,GO:0009733/GO:0009733/GO:0000502/GO:0009734/GO:0019005/GO:0003700/GO:0006355/GO:0005634/GO:0005515/GO:0046983/GO:0009733/GO:0042802/GO:0008180/GO:0005634/GO:0006355/GO:0008180/GO:0006355/GO:0005634/GO:0003700/GO:0009734,S_alt_contig08522,LOC_Os01g08320,CUST_12636_PI428634872,S_alt_contig08522,1,1,2,1
AT3G12490,GO:0004869/GO:0009409/GO:0005829/GO:0009414/GO:0005576/GO:0004869/GO:0005829/GO:0009414/GO:0006972/GO:0004869/GO:0006972/GO:0005783/GO:0009409/GO:0005576/GO:0006979/GO:0050897/GO:0004869,S_alt_contig08530,LOC_Os05g33880,CUST_12638_PI428634872,S_alt_contig08530,1,1,2,1
AT5G25150,GO:0005634/GO:0007131/GO:0000394/GO:0000394/GO:0006355/GO:0042138/GO:0000166/GO:0007062/GO:0006366/GO:0045132/GO:0007062/GO:0006355/GO:0006355/GO:0033044/GO:0005634/GO:0042138/GO:0033044/GO:0007131,S_alt_contig08549_RC,LOC_Os06g44030,CUST_12647_PI428634872,S_alt_contig08549_RC,1,0,1,0.5
AT4G39090,GO:0009651/GO:0009414/GO:0004197/GO:0009651/GO:0006970/GO:0006833/GO:0006096/GO:0009651/GO:0005576/GO:0046686/GO:0009266/GO:0006508/GO:0009651/GO:0006972/GO:0005773/GO:0005773/GO:0042742/GO:0009269/GO:0005634/GO:0008234/GO:0006972/GO:0009269/GO:0006096/GO:0042742/GO:0006970/GO:0008234/GO:0007030/GO:0007030/GO:0009414/GO:0006508,S_alt_contig08574,LOC_Os02g27030,CUST_12659_PI428634872,S_alt_contig08574,1,0,1,0.5
AT3G51730,GO:0005773/GO:0006635/GO:0006635/GO:0007030/GO:0016558/GO:0003674/GO:0005773/GO:0007030/GO:0009651/GO:0006816/GO:0006629/GO:0016558/GO:0009651/GO:0016558,S_alt_contig08585_RC,LOC_Os12g02094,CUST_12666_PI428634872,S_alt_contig08585_RC,1,0,1,0.5
AT1G45332,GO:0006414/GO:0003924/GO:0008135/GO:0005524/GO:0005739/GO:0005739/GO:0005622/GO:0003746/GO:0005525/GO:0005739/GO:0005524/GO:0005739/GO:0006414/GO:0006414/GO:0005525/GO:0003746,S_alt_contig08598_RC,LOC_Os03g36780,CUST_12677_PI428634872,S_alt_contig08598_RC,1,0,1,0.5
AT2G03890,GO:0016773/GO:0046854/GO:0046854/GO:0004430/GO:0004430/GO:0016773/GO:0005575,S_alt_contig08601,LOC_Os04g57300,CUST_12679_PI428634872,S_alt_contig08601,1,0,1,0.5
AT4G21380,GO:0031625/GO:0004674/GO:0031625/GO:0046777/GO:0004675/GO:0046777/GO:0005524/GO:0005524/GO:0004672/GO:0005886/GO:0004674/GO:0004675/GO:0005773/GO:0006468/GO:0005886/GO:0016301/GO:0006468/GO:0009506/GO:0031625/GO:0004675/GO:0030246/GO:0048544/GO:0005773/GO:0006468/GO:0046777/GO:0031625/GO:0004672/GO:0016772,S_alt_contig08609_RC,LOC_Os01g57510,CUST_12682_PI428634872,S_alt_contig08609_RC,1,0,1,0.5
NA,,S_alt_contig08615_NB,,CUST_12687_PI428634872,S_alt_contig08615_NB,1,0,1,0.5
AT1G16610,GO:0008380/GO:0010182/GO:0016607/GO:0005730/GO:0000398/GO:0010182/GO:0005515/GO:0003676/GO:0000166/GO:0005515/GO:0003676/GO:0005730/GO:0005654/GO:0003676/GO:0000398/GO:0005515/GO:0003723/GO:0016607/GO:0005730/GO:0008380/GO:0005654/GO:0000166/GO:0000166/GO:0005515/GO:0005730,S_5sp_contig23670,LOC_Os01g72890,CUST_1268_PI428634872,S_5sp_contig23670,1,0,1,0.5
AT1G32060,GO:0009570/GO:0009535/GO:0008974/GO:0009409/GO:0009697/GO:0016020/GO:0009570/GO:0010363/GO:0009570/GO:0048046/GO:0009535/GO:0009814/GO:0009862/GO:0005524/GO:0009595/GO:0005524/GO:0009814/GO:0009902/GO:0035304/GO:0009535/GO:0008152/GO:0006612/GO:0009409/GO:0010114/GO:0010207/GO:0035304/GO:0018119/GO:0009697/GO:0006098/GO:0010103/GO:0043900/GO:0009941/GO:0005524/GO:0018119/GO:0019684/GO:0010218/GO:0035304/GO:0009570/GO:0009535/GO:0009507/GO:0050832/GO:0009941/GO:0009862/GO:0009535/GO:0015979/GO:0009409/GO:0010363/GO:0009570/GO:0019684/GO:0042742/GO:0009570/GO:0009941/GO:0010207/GO:0009535/GO:0009637/GO:0006364/GO:0009902/GO:0005975/GO:0010319/GO:0009867/GO:0015979/GO:0005515/GO:0009773/GO:0042742/GO:0009570/GO:0009570/GO:0009941/GO:0006364/GO:0010310/GO:0009862/GO:0006098/GO:0019344/GO:0009535/GO:0009657/GO:0016301/GO:0008974/GO:0010319/GO:0009862/GO:0000165/GO:0009657/GO:0009570/GO:0009570/GO:0009773/GO:0008974/GO:0018119/GO:0009773/GO:0010310/GO:0005524/GO:0009535/GO:0009507/GO:0009579/GO:0009535/GO:0009570/GO:0009535/GO:0009409/GO:0006612/GO:0019344/GO:0050832/GO:0009507/GO:0010319/GO:0010207/GO:0019684/GO:0009570/GO:0009058/GO:0010207/GO:0009867/GO:0042742/GO:0010200/GO:0008974/GO:0042742/GO:0031348,S_alt_contig08618,LOC_Os04g50880,CUST_12690_PI428634872,S_alt_contig08618,1,0,1,0.5
AT4G32600,GO:0008270/GO:0005634/GO:0005886/GO:0008270,S_alt_contig08630_RC,LOC_Os01g08340,CUST_12696_PI428634872,S_alt_contig08630_RC,1,0,1,0.5
AT5G41980,GO:0016788/GO:0005634,S_alt_contig08636,LOC_Os09g25160,CUST_12699_PI428634872,S_alt_contig08636,1,0,1,0.5
AT5G25220,GO:0006355/GO:0006355/GO:0009416/GO:0005634/GO:0009722/GO:0006355/GO:0006355/GO:0005829/GO:0003700/GO:0048513/GO:0005515/GO:0043565/GO:0006355/GO:0005634/GO:0003677/GO:0006355/GO:0003700/GO:0003700/GO:0005634/GO:0043565/GO:0071345/GO:0003677/GO:0005634/GO:0005634,S_alt_contig08638,LOC_Os08g19650,CUST_12700_PI428634872,S_alt_contig08638,1,0,1,0.5
AT1G14850,GO:0005634/GO:0005643/GO:0005643/GO:0009507/GO:0005643/GO:0005487/GO:0006913/GO:0006913/GO:0006913/GO:0005730/GO:0005515/GO:0001510/GO:0017056/GO:0005886/GO:0006913/GO:0005643/GO:0001510/GO:0005643/GO:0005730/GO:0009506/GO:0005643/GO:0005886,S_alt_contig08643_RC,LOC_Os06g20090,CUST_12704_PI428634872,S_alt_contig08643_RC,1,0,1,0.5
AT2G26280,GO:0006298/GO:0006298/GO:0005515/GO:0003684/GO:0006298/GO:0005524/GO:0009507/GO:0005524,S_alt_contig08658,LOC_Os06g09890,CUST_12716_PI428634872,S_alt_contig08658,1,0,1,0.5
AT3G30380,GO:0005576/GO:0005576/GO:0008150,S_alt_contig08662,LOC_Os02g09770,CUST_12718_PI428634872,S_alt_contig08662,1,0,1,0.5
AT1G32050,GO:0005794/GO:0005886/GO:0022857/GO:0006944/GO:0005886/GO:0005886/GO:0016021/GO:0005739/GO:0005886/GO:0016192/GO:0015031/GO:0006944,S_alt_contig08673,LOC_Os02g47010,CUST_12723_PI428634872,S_alt_contig08673,1,0,1,0.5
AT3G44200,GO:0004672/GO:0009913/GO:0010090/GO:0045010/GO:0010090/GO:0007017/GO:0048765/GO:0010090/GO:0007155/GO:0043622/GO:0055028/GO:0009913/GO:0005634/GO:0048765/GO:0045010/GO:0071555/GO:0043622/GO:0055028/GO:0016301/GO:0004672/GO:0071555,S_alt_contig08674,LOC_Os01g64490,CUST_12724_PI428634872,S_alt_contig08674,1,0,1,0.5
AT5G17910,GO:0008150/GO:0005634/GO:0003674/GO:0005634,S_alt_contig08737_RC,LOC_Os01g59670,CUST_12756_PI428634872,S_alt_contig08737_RC,1,1,2,1
AT2G48120,GO:0009537/GO:0009658/GO:0009509/GO:0009513/GO:0009501/GO:0016117/GO:0016117/GO:0009965/GO:0009658/GO:0009507/GO:0010239/GO:0009507/GO:0009507/GO:0003674/GO:0071482/GO:0010239/GO:0003674/GO:0071482,S_alt_contig08738_RC,LOC_Os05g32680,CUST_12757_PI428634872,S_alt_contig08738_RC,1,0,1,0.5
AT1G15080,GO:0005887/GO:0003993/GO:0005886/GO:0005737/GO:0009738/GO:0009738/GO:0016020/GO:0008195/GO:0003824/GO:0005887/GO:0008195,S_alt_contig08743_RC,LOC_Os01g49820,CUST_12758_PI428634872,S_alt_contig08743_RC,1,0,1,0.5
AT4G02120,GO:0003883/GO:0009218/GO:0006221/GO:0005737/GO:0009218/GO:0003883/GO:0006221,S_alt_contig08746,LOC_Os12g36950,CUST_12761_PI428634872,S_alt_contig08746,1,0,1,0.5
AT2G34480,GO:0022625/GO:0022625/GO:0006412/GO:0022626/GO:0022626/GO:0022626/GO:0005840/GO:0005774/GO:0022625/GO:0005829/GO:0005774/GO:0009664/GO:0005622/GO:0022626/GO:0042545/GO:0022626/GO:0005840/GO:0022626/GO:0022626/GO:0006412/GO:0006412/GO:0022626/GO:0003735/GO:0005737/GO:0003735/GO:0005886/GO:0042545/GO:0009664/GO:0006412/GO:0006412/GO:0022626/GO:0022626/GO:0022626/GO:0022625/GO:0042254/GO:0005774/GO:0022626/GO:0006412,S_alt_contig08757_RC,LOC_Os01g47660,CUST_12767_PI428634872,S_alt_contig08757_RC,1,0,1,0.5
AT3G17590,GO:0005634/GO:0000228/GO:0016568/GO:0005634/GO:0000228/GO:0000228/GO:0006338/GO:0003682/GO:0016568/GO:0006338/GO:0006338/GO:0005634/GO:0000228/GO:0040029/GO:0006338/GO:0005515,S_5sp_contig23725,LOC_Os02g49190,CUST_1276_PI428634872,S_5sp_contig23725,1,0,1,0.5
AT4G39090,GO:0009651/GO:0009414/GO:0004197/GO:0009651/GO:0006970/GO:0006833/GO:0006096/GO:0009651/GO:0005576/GO:0046686/GO:0009266/GO:0006508/GO:0009651/GO:0006972/GO:0005773/GO:0005773/GO:0042742/GO:0009269/GO:0005634/GO:0008234/GO:0006972/GO:0009269/GO:0006096/GO:0042742/GO:0006970/GO:0008234/GO:0007030/GO:0007030/GO:0009414/GO:0006508,S_alt_contig08764,LOC_Os02g27030,CUST_12774_PI428634872,S_alt_contig08764,1,0,1,0.5
AT3G11320,GO:0005783/GO:0008514/GO:0006863/GO:0005794/GO:0005886/GO:0016020/GO:0016132/GO:0005794,S_alt_contig08765,LOC_Os03g17740,CUST_12775_PI428634872,S_alt_contig08765,1,0,1,0.5
AT5G26940,GO:0005622/GO:0005622/GO:0004527/GO:0003676/GO:0000738/GO:0004527/GO:0009536/GO:0004527/GO:0004527/GO:0000738/GO:0005622/GO:0003676/GO:0004527/GO:0005739/GO:0005622/GO:0000738/GO:0003676/GO:0003676/GO:0004527/GO:0005622,S_alt_contig08766_RC,LOC_Os04g53200,CUST_12776_PI428634872,S_alt_contig08766_RC,1,0,1,0.5
AT5G49820,GO:0003674/GO:0009793/GO:0009507/GO:0003674,S_alt_contig08767_RC,LOC_Os05g34650,CUST_12777_PI428634872,S_alt_contig08767_RC,1,0,1,0.5
AT1G11650,GO:0003723/GO:0010193/GO:0000166/GO:0008143/GO:0000398/GO:0003723/GO:0005634/GO:0005737/GO:0003676/GO:0003676/GO:0000398/GO:0000166,S_alt_contig08769_RC,LOC_Os08g09100,CUST_12778_PI428634872,S_alt_contig08769_RC,1,0,1,0.5
AT5G08120,GO:0009414/GO:0051607/GO:0009414/GO:0005634/GO:0005515/GO:0010497/GO:0015630/GO:0010497/GO:0043622/GO:0051607/GO:0010375/GO:0043622,S_alt_contig08770_RC,LOC_Os06g17440,CUST_12779_PI428634872,S_alt_contig08770_RC,1,0,1,0.5
AT1G16040,GO:0006506/GO:0005789/GO:0005789/GO:0006506/GO:0016021/GO:0009507/GO:0005789/GO:0006506/GO:0003674/GO:0005789,S_5sp_contig23739,LOC_Os03g03690,CUST_1277_PI428634872,S_5sp_contig23739,1,0,1,0.5
AT1G47500,GO:0000166/GO:0003676/GO:0005634/GO:0008143/GO:0003723/GO:0005737,S_alt_contig08773_RC,LOC_Os02g35950,CUST_12781_PI428634872,S_alt_contig08773_RC,1,0,1,0.5
AT2G21520,GO:0005215/GO:0005622/GO:0005739/GO:0006810/GO:0005215/GO:0005215/GO:0005622/GO:0005794/GO:0006810/GO:0006810,S_alt_contig08789_RC,LOC_Os05g46720,CUST_12788_PI428634872,S_alt_contig08789_RC,1,0,1,0.5
AT5G42950,GO:0009507/GO:0003674/GO:0009737,S_alt_contig08793,LOC_Os07g04530,CUST_12790_PI428634872,S_alt_contig08793,1,0,1,0.5
AT3G18040,GO:0004707/GO:0004672/GO:0005829/GO:0005524/GO:0007165/GO:0016772/GO:0004672/GO:0004707/GO:0004672/GO:0004707/GO:0005634/GO:0006468/GO:0005634/GO:0009738/GO:0004707/GO:0006468/GO:0009738/GO:0006468/GO:0005524/GO:0004707/GO:0006468/GO:0016772/GO:0004707/GO:0004713/GO:0005634/GO:0005739/GO:0005524/GO:0005524/GO:0004672/GO:0006468/GO:0004713/GO:0006468,S_alt_contig08794_RC,LOC_Os06g49430,CUST_12791_PI428634872,S_alt_contig08794_RC,1,0,1,0.5
AT1G69340,GO:0003674/GO:0008150/GO:0005634,S_alt_contig08800,LOC_Os10g30750,CUST_12793_PI428634872,S_alt_contig08800,1,0,1,0.5
AT3G09630,GO:0005829/GO:0009220/GO:0006412/GO:0003735/GO:0022625/GO:0022626/GO:0006412/GO:0003735/GO:0022625/GO:0003735/GO:0005737/GO:0022626/GO:0005730/GO:0009220/GO:0022625/GO:0009507/GO:0001510/GO:0022626/GO:0005730/GO:0022626/GO:0016020/GO:0022626/GO:0009506/GO:0005773/GO:0005886/GO:0006412/GO:0022626/GO:0009664/GO:0005886/GO:0022626/GO:0005840/GO:0042545/GO:0022626/GO:0022626/GO:0022626/GO:0006412/GO:0005840/GO:0009664/GO:0005829/GO:0022626/GO:0006412/GO:0005618/GO:0006412/GO:0022626/GO:0005618/GO:0022626/GO:0022626/GO:0001510/GO:0005840/GO:0022626/GO:0006412/GO:0022626/GO:0005730/GO:0022626/GO:0006412/GO:0022626/GO:0022626/GO:0042545/GO:0005730/GO:0022625/GO:0005737/GO:0016020/GO:0022626/GO:0005773/GO:0006412,S_alt_contig08805,LOC_Os07g08330,CUST_12797_PI428634872,S_alt_contig08805,1,0,1,0.5
AT5G61450,GO:0003674/GO:0005634/GO:0008150,S_5sp_contig06230_RC,LOC_Os03g01250,CUST_127_PI428634872,S_5sp_contig06230_RC,1,0,1,0.5
AT4G04720,GO:0004683/GO:0004674/GO:0016772/GO:0004674/GO:0006499/GO:0005524/GO:0019903/GO:0009506/GO:0005509/GO:0006468/GO:0006468/GO:0006468/GO:0005886/GO:0004672/GO:0005515/GO:0004683/GO:0005886/GO:0006468/GO:0005886/GO:0006499/GO:0016301/GO:0006468/GO:0004672/GO:0006499/GO:0004672/GO:0005634/GO:0005524/GO:0004672/GO:0006468,S_alt_contig08813,LOC_Os07g33110,CUST_12802_PI428634872,S_alt_contig08813,1,0,1,0.5
AT3G10660,GO:0004683/GO:0005524/GO:0005524/GO:0006468/GO:0005509/GO:0004674/GO:0006468/GO:0005789/GO:0005789/GO:0004674/GO:0004674/GO:0006468/GO:0006499/GO:0006468/GO:0005789/GO:0006468/GO:0006499/GO:0004672/GO:0005789/GO:0004674/GO:0016772/GO:0006499/GO:0005634/GO:0004672/GO:0016301/GO:0006468/GO:0004683,S_alt_contig08822_RC,LOC_Os07g06740,CUST_12807_PI428634872,S_alt_contig08822_RC,1,1,2,1
AT5G11850,GO:0004674/GO:0005524/GO:0004672/GO:0016772/GO:0006468/GO:0004674/GO:0006468/GO:0006468/GO:0004712/GO:0004712/GO:0004672/GO:0005524/GO:0016301/GO:0005634/GO:0005886,S_alt_contig08823,LOC_Os02g12810,CUST_12808_PI428634872,S_alt_contig08823,1,0,1,0.5
AT3G53850,GO:0003674/GO:0008150,S_5sp_contig23784,LOC_Os01g62850,CUST_1281_PI428634872,S_5sp_contig23784,1,1,2,1
AT1G12360,GO:0005773/GO:0009306/GO:0009306/GO:0006944/GO:0008565/GO:0016192/GO:0000910/GO:0048193/GO:0030968/GO:0000910/GO:0010200/GO:0006623/GO:0005773/GO:0030968/GO:0030968/GO:0006904/GO:0006944/GO:0016192/GO:0019898/GO:0005515/GO:0006904/GO:0048193/GO:0006623/GO:0005829/GO:0005886,S_alt_contig08845,LOC_Os02g25580,CUST_12820_PI428634872,S_alt_contig08845,1,0,1,0.5
AT1G20110,GO:0007165/GO:0006623/GO:0006623/GO:0035091/GO:0046872/GO:0006944/GO:0006944/GO:0005634/GO:0016192/GO:0016197/GO:0016197,S_alt_contig08848,LOC_Os07g38580,CUST_12823_PI428634872,S_alt_contig08848,1,1,2,1
AT4G33460,GO:0009941/GO:0016887/GO:0009793/GO:0009507/GO:0017111/GO:0005215/GO:0009941/GO:0009941/GO:0005524/GO:0005215/GO:0005524/GO:0009941/GO:0000166,S_alt_contig08849,LOC_Os01g56400,CUST_12824_PI428634872,S_alt_contig08849,1,0,1,0.5
AT5G55390,GO:0003700/GO:0050832/GO:0009911/GO:0008270/GO:0005634/GO:0008270/GO:0005634/GO:0010228/GO:0050832/GO:0005634/GO:0005634/GO:0050832/GO:0050832/GO:0007165,S_alt_contig08875,LOC_Os01g32720,CUST_12836_PI428634872,S_alt_contig08875,1,0,1,0.5
AT3G63460,GO:0006499/GO:0006007/GO:0016020/GO:0080008/GO:0003674/GO:0005737/GO:0016020/GO:0009506/GO:0003674/GO:0005829/GO:0006499/GO:0006499/GO:0005737/GO:0005737,S_alt_contig08878,LOC_Os07g46370,CUST_12839_PI428634872,S_alt_contig08878,1,0,1,0.5
AT1G69360,GO:0003674/GO:0008150,S_alt_contig08888_RC,LOC_Os03g55130,CUST_12844_PI428634872,S_alt_contig08888_RC,1,0,1,0.5
AT1G09430,GO:0005524/GO:0003878/GO:0006085/GO:0009346/GO:0009346/GO:0006623/GO:0005829/GO:0006085/GO:0016874/GO:0006623/GO:0005524/GO:0005737,S_alt_contig08896,LOC_Os11g47330,CUST_12849_PI428634872,S_alt_contig08896,1,0,1,0.5
AT1G48880,GO:0008150,S_alt_contig08899_RC,LOC_Os01g65800,CUST_12850_PI428634872,S_alt_contig08899_RC,1,0,1,0.5
AT5G48830,GO:0003674/GO:0008150,S_alt_contig08918,LOC_Os02g31070,CUST_12861_PI428634872,S_alt_contig08918,1,0,1,0.5
AT1G72660,GO:0009644/GO:0005737/GO:0005737/GO:0005525/GO:0016114/GO:0005525/GO:0005525/GO:0009408/GO:0006457/GO:0005737/GO:0005525/GO:0005525/GO:0042542/GO:0005525/GO:0006457/GO:0009408/GO:0005525/GO:0005525/GO:0016114/GO:0006457,S_alt_contig08925_RC,LOC_Os05g28940,CUST_12864_PI428634872,S_alt_contig08925_RC,1,0,1,0.5
AT2G19260,GO:0006355/GO:0008270/GO:0006355/GO:0003677/GO:0005634/GO:0006355,S_alt_contig08946_RC,LOC_Os04g34720,CUST_12875_PI428634872,S_alt_contig08946_RC,1,0,1,0.5
AT3G52120,GO:0003723/GO:0006396/GO:0003676/GO:0006396/GO:0005634/GO:0003676/GO:0005634/GO:0006396/GO:0005622/GO:0003723/GO:0006396/GO:0003676/GO:0006396/GO:0003723/GO:0006396,S_alt_contig08950,LOC_Os09g10930,CUST_12877_PI428634872,S_alt_contig08950,1,0,1,0.5
AT1G08700,GO:0016020/GO:0019722/GO:0008152/GO:0005887/GO:0004175/GO:0004190/GO:0005887/GO:0035556,S_alt_contig08966,LOC_Os01g16930,CUST_12885_PI428634872,S_alt_contig08966,1,0,1,0.5
AT5G13300,GO:0008060/GO:0030140/GO:0005794/GO:0010051/GO:0071555/GO:0010090/GO:0005886/GO:0035091/GO:0007155/GO:0045010/GO:0016049/GO:0009887/GO:0005886/GO:0009965/GO:0003002/GO:0048765/GO:0071555/GO:0045595/GO:0048449/GO:0048765/GO:0005543/GO:0010090/GO:0010089/GO:0000278/GO:0045010/GO:0048439/GO:0005515/GO:0010087/GO:0009944/GO:0010638/GO:0005829/GO:0008060/GO:0009888/GO:0033043/GO:0030140/GO:0009733/GO:0010014/GO:0030140/GO:0033043/GO:0033044/GO:0033044/GO:0008270/GO:0010638/GO:0048589/GO:0006897/GO:0010090/GO:0048519/GO:0009855/GO:0010051,S_alt_contig08968_RC,LOC_Os09g33600,CUST_12886_PI428634872,S_alt_contig08968_RC,1,0,1,0.5
AT4G22310,GO:0008150/GO:0006096/GO:0006096/GO:0009060/GO:0005739/GO:0006623/GO:0005739/GO:0005739/GO:0046686/GO:0009060/GO:0005739/GO:0006623,S_alt_contig08983,LOC_Os08g25590,CUST_12892_PI428634872,S_alt_contig08983,1,1,2,1
AT4G22310,GO:0008150/GO:0006096/GO:0006096/GO:0009060/GO:0005739/GO:0006623/GO:0005739/GO:0005739/GO:0046686/GO:0009060/GO:0005739/GO:0006623,S_alt_contig08991,LOC_Os08g25590,CUST_12897_PI428634872,S_alt_contig08991,1,1,2,1
